address,suburb,state,postcode,latitude,longitude,asset_type,operator,sale_price_aud,sale_date,nla_sqm,site_area_sqm,price_per_sqm,yield,purchaser,vendor,comments,source_report,source_page
11 Dudgeons Lane,Bangalow,NSW,,-28.6853,153.5194,Self-Storage,Bangalow Rent A Shed,2400000,2025-07-01,768,1764,3125,0.063,Private,,"The property is located within the regional township of Bangalow, approximately 16 kilometres south-west of Byron Bay, 170 kilometres south of Brisbane and 225 kilometres north of Coffs Harbour. It comprises a single-level ranch-style self-storage facility across two central...",StoreLocal_Airlie_Beach_Report.pdf,52
146-152 Farm Street,Kawana,QLD,,-23.3127,150.5167,Self-Storage,Swift Storage Rockhampton,5200000,2025-03-01,1794,3683,2899,0.0622,Barings,,"The property is located within the regional city of Rockhampton, in the established mixed-use suburb of Kawana, approximately six kilometres by road north-east of the Rockhampton city centre and approximately eight kilometres by road north-east of the Rockhampton Airport. The...",StoreLocal_Airlie_Beach_Report.pdf,53
34 Pineapple Drive,Hidden Valley,QLD,,-27.55,152.6833,Self-Storage,Swift Storage Yeppoon,8350000,2025-03-01,3635,15090,2297,0.0621,Barings,,"The property is located within the emerging mixed-use suburb of Hidden Valley, approximately 675 kilometres by road north of Brisbane and approximately seven kilometres by road south-west of the Yeppoon commercial centre. The property comprises a single-level, ranch-style self-...",StoreLocal_Airlie_Beach_Report.pdf,54
6 Delmarco Drive,Picton East,WA,,-33.3571,115.71,Self-Storage,Storage King Bunbury,12000000,2024-05-01,6384,18747,1880,0.0643,National Storage,,The property is located within the predominantly industrial suburb of Picton East approximately 170 kilometres by road south of Perth and approximately 10 kilometres by road east of Bunbury. The asset comprises three closely located allotments with exposure to local roads. It is...,StoreLocal_Airlie_Beach_Report.pdf,55
"17-19, 30-32, and 34-36 and 38-40 Navelina Court",Dundowran,QLD,,-25.3167,152.8333,Self-Storage,iStore Hervey Bay,9500000,2023-12-01,7182,17573,1323,0.0722,Loxon Self Storage,,"The property is located within the suburb of Dundowran within Hervey Bay, approximately 15 kilometres by road west of the Hervey Bay airport and approximately 30 kilometres by road north of Maryborough. The asset has exposure to a local road. It is afforded a good level of...",StoreLocal_Airlie_Beach_Report.pdf,56
180 Heslop Road,Gaven,QLD,,-27.9167,153.3333,Self-Storage,StoreLocal Pacific Pines,65600000,2025-05-01,12333,11603,5319,0.0563,BlackRock,,"The property is located within the established predominantly residential suburb of Gaven and comprises two adjoining allotments (separately titled), each improved with a warehouse-style self-storage building with on-site management. The northern building provides drive around...",StoreLocal_Campbellfield_Report.pdf,54
205 Krugar Parade,Redbank Plains,QLD,,-27.65,152.85,Self-Storage,Guardian Self Storage,16200000,2025-02-01,4220,5871,3839,0.0597,Storage King,,"The property is located within the established mixed-use suburb of Redbank Plains, approximately 30 kilometres by road south-west of Brisbane, approximately 14 kilometres by road east of Ipswich, and approximately 1.8 kilometres by road north of the Redbank Plains shopping...",StoreLocal_Campbellfield_Report.pdf,55
5 Abel Street,Jamisontown,NSW,,-33.72,150.695,Self-Storage,Self-Storage Jamisontown,23000000,2024-05-01,6173,4199,3726,0.0655,StoreLocal,,The property is located within the established mixed-use suburb of Jamisontown approximately 55 kilometres by road west of Sydney and approximately 2.5 kilometres by road south of Penrith. The asset has exposure to a local connector road. It is afforded a good level of exposure...,StoreLocal_Campbellfield_Report.pdf,56
125 Kurrajong Road,Prestons,NSW,,-33.9311,150.8542,Self-Storage,Self-Storage Prestons,22000000,2024-04-01,4726,4660,4655,0.0603,StoreLocal,,"The property is located within the established mixed-use suburb of Prestons, approximately 40 kilometres by road south-west of Sydney and approximately 4.5 kilometres by road south-west of Liverpool. The land is improved with a three-level warehouse-style self-storage facility...",StoreLocal_Campbellfield_Report.pdf,57
55 Pacific Highway,Bennetts Green,NSW,,-32.9167,151.6011,Self-Storage,Mini Storage Electrodry Storage Solutions,16555000,2023-09-01,5911,8789,2801,0.0583,Wilson Storage,,"The property is located within the suburb of Bennetts Green, approximately 15 kilometres by road south-west of Newcastle and approximately 150 kilometres north of Sydney. The asset has exposure to a major road. It is afforded an excellent level of exposure to high volumes of...",StoreLocal_Campbellfield_Report.pdf,58
